material,1.0
positioning,1.0
threat,1.0
move #, depth, move, time, visited, pruned, DP hits
1,1,g1f3,0.007300853729248047,21,0,0
1,2,g1f3,0.02255415916442871,79,0,0
1,3,g1f3,0.228499174118042,767,0,159
1,4,g1f3,0.9555540084838867,3540,0,703
3,1,b1c3,0.007503032684326172,23,0,7
3,2,b1c3,0.026512861251831055,127,0,89
3,3,b1c3,0.4246687889099121,1313,0,225
3,4,b1c3,3.7770960330963135,13019,0,2828
5,1,f3e5,0.008980035781860352,25,0,3
5,2,f3e5,0.024647951126098633,109,0,58
5,3,f3e5,0.39196181297302246,1208,0,154
5,4,e2e3,4.8462090492248535,16996,0,4948
7,1,f1d3,0.012169122695922852,32,0,0
7,2,f1d3,0.07532405853271484,267,0,111
7,3,f1d3,1.307675838470459,4014,0,591
7,4,f1b5,8.270244836807251,28627,0,8357
9,1,b5c6,0.012575149536132812,33,0,1
9,2,f3e5,0.041986942291259766,127,0,3
9,3,f3e5,0.564626932144165,1690,0,197
9,4,b5c6,1.0521018505096436,4039,0,448
10,1,c8d7,0.0018608570098876953,4,0,0
10,2,d8d7,0.016037940979003906,39,2,0
10,3,d8d7,0.12854886054992676,160,43,0
10,4,d8d7,0.6537752151489258,1500,376,201
11,1,f3e5,0.007703065872192383,35,0,34
11,2,f3e5,0.027199983596801758,141,0,106
11,3,f3e5,0.8148071765899658,2419,0,321
11,4,c6d7,1.0354340076446533,4112,0,474
12,1,c8d7,0.000804901123046875,4,0,3
12,2,c8d7,0.022160053253173828,94,6,90
12,3,e8d8,0.20809721946716309,280,52,0
12,4,e8d7,1.6093149185180664,3649,855,474
13,1,f3e5,0.0061092376708984375,30,0,29
13,2,f3e5,0.014202117919921875,82,0,52
13,3,f3e5,0.38277673721313477,1192,0,156
13,4,f3d4,1.720991849899292,6312,0,791
14,1,g8f6,0.00847315788269043,18,2,0
14,2,g8f6,0.04169011116027832,94,47,46
14,3,g8f6,0.45232582092285156,782,88,53
14,4,g8f6,2.560539960861206,5364,2253,661
15,1,c3d5,0.014125823974609375,36,0,1
15,2,d1f3,0.060320138931274414,215,0,80
15,3,d1f3,1.158034324645996,3397,0,410
15,4,d1f3,7.837538003921509,27743,0,5792
16,1,f6e4,0.007721900939941406,21,1,11
16,2,d7d6,0.05458688735961914,133,59,95
16,3,d7d6,0.757692813873291,1118,140,116
16,4,d7d6,3.511174201965332,7472,3539,1181
17,1,c3d5,0.013828039169311523,42,0,18
17,2,f3f4,0.05352282524108887,204,0,74
17,3,f3f4,1.72049880027771,5191,0,512
17,4,d4b5,5.170943021774292,19445,0,3374
18,1,d6c6,0.0013010501861572266,6,0,5
18,2,d6c6,0.02676701545715332,106,22,100
18,3,d6c6,0.3831789493560791,460,47,5
18,4,d6c6,1.9985268115997314,4639,1530,756
19,1,b5d4,0.01415395736694336,41,0,4
19,2,b5d4,0.029514074325561523,127,0,53
19,3,b5d4,0.901634931564331,2789,0,403
19,4,b5d4,3.7564806938171387,14074,0,2185
20,1,c6c5,0.0012481212615966797,6,0,5
20,2,c6c5,0.032131195068359375,119,29,113
20,3,c6c5,0.41395092010498047,447,52,19
20,4,c6c5,3.0060369968414307,6758,2242,1046
21,1,c3d5,0.00977182388305664,42,0,41
21,2,f3f4,0.059995174407958984,307,0,265
21,3,f3f4,1.9530360698699951,5907,0,701
21,4,c3a4,5.494802951812744,20256,0,4518
22,1,c5b4,0.0006451606750488281,3,0,2
22,2,c5b4,0.016155242919921875,53,23,26
22,3,c5b4,0.18269610404968262,196,28,0
22,4,c5b4,0.9523141384124756,2208,1045,324
23,1,a4c5,0.013111114501953125,37,0,3
23,2,a4c3,0.05514693260192871,213,0,76
23,3,a4c3,0.9333479404449463,2932,0,408
23,4,a4c3,5.153850078582764,18335,0,2842
24,1,c8e6,0.008503913879394531,23,3,22
24,2,c8e6,0.0628821849822998,150,64,97
24,3,c8e6,0.7067198753356934,996,138,91
24,4,b4c5,3.7146379947662354,7889,3632,1352
25,1,c3d5,0.012079000473022461,42,0,18
25,2,f3f4,0.0842890739440918,307,0,105
25,3,f3f4,1.9419138431549072,5907,0,701
25,4,c3a4,5.543751001358032,20256,0,4518
26,1,c5b4,0.0008120536804199219,3,0,1
26,2,c5b4,0.012497186660766602,53,23,50
26,3,c5b4,0.17811799049377441,196,28,0
26,4,c5b4,0.9601850509643555,2208,1045,324
27,1,a4c5,0.015362024307250977,37,0,3
27,2,a4c3,0.055696964263916016,213,0,76
27,3,a4c3,0.9338850975036621,2932,0,408
27,4,a4c3,5.171945810317993,18335,0,2842
28,1,c8e6,0.00728297233581543,23,3,22
28,2,c8e6,0.06286883354187012,150,64,97
28,3,c8e6,0.6995179653167725,996,138,91
28,4,b4c5,3.749127149581909,7889,3632,1352
29,1,c3d5,0.012597799301147461,42,0,18
29,2,f3f4,0.08558106422424316,307,0,105
29,3,f3f4,1.9602200984954834,5907,0,701
29,4,c3a4,5.894468784332275,20256,0,4518
30,1,c5b4,0.0008301734924316406,3,0,1
30,2,c5b4,0.013086318969726562,53,23,50
30,3,c5b4,0.17821478843688965,196,28,0
30,4,c5b4,1.1366498470306396,2208,1045,324
31,1,a4c5,0.013307809829711914,37,0,3
31,2,a4c3,0.05813002586364746,213,0,76
31,3,a4c3,1.035539150238037,2932,0,408
31,4,a4c3,5.513970136642456,18335,0,2842
32,1,c8e6,0.007250785827636719,23,3,22
32,2,c8e6,0.06218314170837402,150,64,97
32,3,c8e6,0.7324619293212891,996,138,91
32,4,b4c5,3.7909200191497803,7889,3632,1352
33,1,c3d5,0.013669252395629883,42,0,18
33,2,f3f4,0.08414721488952637,307,0,105
33,3,f3f4,1.975205898284912,5907,0,701
33,4,f3f4,6.442457675933838,21755,0,3946
34,1,c8e6,0.010017871856689453,20,6,1
34,2,c8d7,0.05837106704711914,114,56,40
34,3,c8d7,0.4448528289794922,472,106,27
34,4,c8d7,2.2943460941314697,4662,2476,892
35,1,c3d5,0.01329493522644043,46,0,28
35,2,f4c7,0.03426194190979004,153,0,81
35,3,f4c7,1.0542309284210205,2894,0,439
35,4,f4c7,3.653913736343384,12391,0,2080
36,1,d7c6,0.0007231235504150391,3,0,2
36,2,d7c6,0.01488494873046875,58,37,51
36,3,d7c6,0.21047592163085938,237,82,0
36,4,c5b4,1.0785248279571533,2441,1749,317
37,1,a2a3,0.009438037872314453,47,0,45
37,2,a2a3,0.06549191474914551,340,0,293
37,3,d4b3,1.929872989654541,5832,0,768
37,4,d4b3,3.157984972000122,11932,0,1237
38,1,f6e4,0.012283802032470703,29,3,2
38,2,h8g8,0.06599974632263184,174,216,115
38,3,h8g8,0.49008989334106445,660,277,18
38,4,h8g8,2.7981560230255127,7088,4241,602
39,1,c7c5,0.009467124938964844,43,0,39
39,2,c7c5,0.03650927543640137,158,0,80
39,3,c7d7,0.8855609893798828,2877,0,493
39,4,c7d7,3.003396987915039,11648,0,3083
40,1,f6e4,0.010085821151733398,20,3,4
40,2,g8h8,0.05669403076171875,120,99,3
40,3,g8h8,0.3842160701751709,617,236,52
40,4,g8h8,2.6291990280151367,6685,3727,653
41,1,d7b7,0.008556127548217773,44,0,39
41,2,d7b7,0.0256500244140625,129,0,67
41,3,d7e8,0.5992441177368164,1984,0,375
41,4,d7e8,1.3142387866973877,5326,0,619
42,1,a8e8,0.00952005386352539,22,2,0
42,2,h8g8,0.06100201606750488,145,142,9
42,3,h8g8,0.5359187126159668,1012,270,139
42,4,h8g8,5.500849962234497,14715,7017,1830
43,1,e8b5,0.007620096206665039,40,0,36
43,2,e8b5,0.023220062255859375,129,0,89
43,3,e8e7,0.865778923034668,2833,0,362
43,4,e8e7,2.2126340866088867,8619,0,1037
44,1,f8e7,0.0007140636444091797,2,0,0
44,2,f8e7,0.007927894592285156,23,7,0
44,3,f8e7,0.07731771469116211,44,414,0
44,4,f8e7,0.2183687686920166,474,509,55
45,1,a2a3,0.005613088607788086,29,0,27
45,2,a2a3,0.0441279411315918,172,0,70
45,3,a2a3,2.34608793258667,7862,0,865
45,4,a2a3,9.699889898300171,38423,0,11289
