material,1.0
positioning,1.0
threat,1.0
move #, depth, move, time, visited, pruned, DP hits
1,1,b8c6,0.010123014450073242,21,0,0
1,2,g8f6,0.03515291213989258,108,0,0
1,3,g8f6,0.22197914123535156,733,0,130
1,4,b8c6,1.3762879371643066,4936,0,1444
2,1,g8f6,0.010905981063842773,23,0,2
2,2,g8f6,0.028324127197265625,103,0,31
2,3,g8f6,0.3353879451751709,988,0,149
2,4,g8f6,1.6245880126953125,5421,0,743
3,1,f6e4,0.010499238967895508,25,0,5
3,2,h8g8,0.029903173446655273,110,0,38
3,3,h8g8,0.3868448734283447,1149,0,115
3,4,c6b4,2.4826183319091797,8198,0,1352
4,1,b4d5,0.01339101791381836,28,0,0
4,2,b4c6,0.04296422004699707,145,0,34
4,3,b4c6,0.6499059200286865,1964,0,269
4,4,b4d3,4.682801246643066,15361,0,3861
5,1,f6e4,0.006735801696777344,22,0,21
5,2,f6e4,0.049449920654296875,164,0,62
5,3,f6e4,0.3514878749847412,843,0,64
5,4,a8b8,2.3991920948028564,7289,0,1572
6,1,f6e4,0.01089787483215332,22,0,1
6,2,h8g8,0.03475475311279297,123,0,42
6,3,h8g8,0.26349687576293945,822,0,109
6,4,b8a8,1.6204750537872314,5337,0,1095
7,1,f6e4,0.010508060455322266,21,0,1
7,2,f6e4,0.05102396011352539,176,0,62
7,3,f6e4,0.2404930591583252,832,0,48
7,4,f6g4,4.9497389793396,15732,0,3855
8,1,g4e5,0.012066841125488281,24,0,0
8,2,g4e5,0.04926896095275879,224,0,182
8,3,g4e5,0.270770788192749,928,0,80
8,4,g4f2,5.673134803771973,18359,0,4565
9,1,h8g8,0.008985042572021484,18,0,0
9,2,h7h5,0.05733895301818848,211,0,97
9,3,a8b8,0.15683412551879883,548,0,43
9,4,a8b8,1.4328587055206299,5124,0,1358
10,1,h8g8,0.008191823959350586,18,0,1
10,2,h7h5,0.09505915641784668,295,0,51
10,3,b8a8,0.2656698226928711,915,0,78
10,4,b8a8,2.018171787261963,7052,0,1599
11,1,h8g8,0.008297920227050781,17,0,1
