material,1.0
positioning,1.0
threat,1.0
move #, depth, move, time, visited, pruned, DP hits
10,1,c8e6,0.01300191879272461,26,6,0
10,2,c8d7,0.13760805130004883,319,110,0
10,3,g8h8,1.2052268981933594,2112,452,294
10,4,f8e8,8.372949123382568,19668,6815,4216
11,1,c8e6,0.015262365341186523,26,6,2
11,2,c8d7,0.11478590965270996,343,109,195
11,3,c8d7,1.5171020030975342,2727,423,405
11,4,d8b6,8.061946868896484,19950,6524,5332
12,1,c8e6,0.015759706497192383,27,8,6
12,2,c8d7,0.07731509208679199,197,56,144
12,3,e8f8,1.077298879623413,1569,354,250
12,4,c8e6,8.779206991195679,19697,8069,4921
13,1,b6c5,0.013871908187866211,35,7,34
13,2,e6c4,0.09448695182800293,261,159,226
13,3,e6c4,2.6799261569976807,4416,1321,640
13,4,a8e8,9.152968883514404,18910,12245,3429
14,1,b6c6,0.01081395149230957,21,14,20
14,2,b6c6,0.06044197082519531,151,79,93
14,3,f6h5,1.3817451000213623,2650,1307,348
14,4,b6c6,8.899590015411377,20888,9529,5108
15,1,g8g7,0.011044740676879883,27,9,26
15,2,g8g7,0.05397605895996094,125,41,98
15,3,e8d8,1.2970268726348877,1981,497,299
15,4,e8d8,4.964700937271118,11024,5261,2974
16,1,d8d7,0.016144275665283203,31,10,3
16,2,d8d7,0.10361790657043457,303,126,196
16,3,d8d7,3.263089895248413,5761,1662,830
16,4,f6e4,26.3082492351532,70893,25025,19894
17,1,d8d7,0.015410184860229492,26,9,0
17,2,d8d7,0.08477783203125,192,64,52
17,3,d8d7,0.8854160308837891,1330,336,121
17,4,g8g7,16.85838294029236,44232,12001,12770
18,1,d8d7,0.016170978546142578,31,6,8
18,2,c6c5,0.09837007522583008,340,49,291
18,3,c6c5,2.0847208499908447,3032,354,462
18,4,c6c5,14.666936874389648,38779,6821,14184
19,1,c5d4,0.003962039947509766,7,0,0
19,2,c5d4,0.05150198936462402,143,23,0
19,3,c5d4,0.4237208366394043,618,389,1
19,4,c5d4,2.8647398948669434,7853,1735,730
20,1,d8d7,0.012038707733154297,23,3,1
20,2,e7e6,0.10191106796264648,472,29,443
20,3,e7e6,1.5509140491485596,2443,137,392
20,4,e7e6,6.8683929443359375,22017,1715,6134
21,1,g7g8,0.002141237258911133,5,0,4
21,2,g7g8,0.0141448974609375,46,8,41
21,3,g7g8,0.27761316299438477,542,41,3
21,4,g7g8,1.1942200660705566,3347,588,502
22,1,d8d7,0.005324125289916992,14,3,13
22,2,d8d7,0.04721784591674805,179,40,165
22,3,d8d7,0.4599268436431885,645,164,43
22,4,d8e8,4.0399720668792725,12313,2357,4115
23,1,e8e7,0.0073812007904052734,14,2,4
23,2,e8d8,0.062101125717163086,240,37,205
23,3,e8b8,0.6224989891052246,1203,200,164
23,4,e8d8,3.897797107696533,12571,1821,3848
24,1,g8h8,0.005373239517211914,10,4,9
24,2,g8h8,0.02306818962097168,68,11,58
24,3,g8h8,0.1477491855621338,229,51,23
24,4,g8g7,1.5003409385681152,4722,489,1132
25,1,g7h8,0.007187843322753906,12,1,2
25,2,g7h8,0.04993295669555664,167,12,93
25,3,g7h8,0.33714771270751953,458,62,51
25,4,g7g8,3.0758891105651855,9446,899,1674
26,1,g8g7,0.0009961128234863281,2,0,1
26,2,g8g7,0.014368772506713867,54,8,52
26,3,g8g7,0.12865900993347168,227,44,0
26,4,g8g7,0.9683921337127686,3053,507,641
27,1,g7g8,0.001798868179321289,3,0,1
27,2,g7g8,0.014116048812866211,51,8,46
27,3,g7g8,0.07661890983581543,110,10,0
27,4,g7g8,0.7632360458374023,2577,397,578
