material,9.752
positioning,0.111
threat,3.53
move #, depth, move, time, visited, pruned, DP hits
2,1,g8f6,0.007325887680053711,21,0,0
2,2,g8f6,0.033393144607543945,103,0,0
2,3,g8f6,0.3574249744415283,897,0,139
2,4,b8c6,4.358253002166748,14115,0,2070
4,1,g8f6,0.008016109466552734,23,0,3
4,2,g8f6,0.01888275146484375,99,0,76
4,3,g8f6,0.3309457302093506,1041,0,110
4,4,g8f6,1.5689640045166016,5391,0,592
6,1,f6e4,0.007939815521240234,24,0,7
6,2,c6b4,0.05838513374328613,259,0,204
6,3,f6e4,0.40604710578918457,1289,0,118
6,4,a7a6,8.759044885635376,28651,0,4731
8,1,f6e4,0.009762048721313477,26,0,0
8,2,c6b4,0.07571291923522949,252,0,72
8,3,f6e4,0.46682286262512207,1501,0,164
8,4,b7b5,8.840678930282593,29295,0,5442
10,1,b5a4,0.00978994369506836,27,0,0
10,2,b5a4,0.033857107162475586,169,0,132
10,3,b5a4,0.7238740921020508,2275,0,224
10,4,b5a4,4.0866711139678955,14798,0,2379
12,1,f6e4,0.007772922515869141,26,0,9
12,2,a8b8,0.03497600555419922,145,0,71
12,3,a8b8,0.5102767944335938,1650,0,202
12,4,a8b8,1.921710729598999,6733,0,785
14,1,f6e4,0.00922703742980957,30,0,9
14,2,a4a3,0.05974388122558594,259,0,160
14,3,a4a3,1.453057050704956,4653,0,515
14,4,a4a3,12.647687196731567,44066,0,10421
16,1,f6e4,0.009379863739013672,30,0,9
16,2,a3b2,0.05086684226989746,173,0,26
16,3,a3b2,1.0694851875305176,3415,0,405
16,4,a3b2,12.532469987869263,44295,0,10857
18,1,b2a1q,0.009885072708129883,36,0,19
18,2,b2a1q,0.08726000785827637,379,0,247
18,3,b2a1q,3.799603223800659,12690,0,2980
18,4,b2a1q,22.55137586593628,83681,0,23643
20,1,a1c1,0.00844883918762207,35,0,24
20,2,a1c3,0.046276092529296875,175,0,46
20,3,a1c3,1.6231801509857178,5074,0,450
20,4,a1a2,17.206019163131714,60206,0,14704
21,1,f3e5,0.01003122329711914,22,5,0
21,2,d4d5,0.0879213809967041,202,165,0
21,3,d4d5,0.872169017791748,1542,464,184
21,4,d4d5,14.54386568069458,37011,21895,10091
22,1,a2d2,0.013509035110473633,40,0,0
22,2,c6a5,0.14661288261413574,593,0,314
22,3,c6a5,5.0474889278411865,16562,0,3156
22,4,c6a7,23.781217098236084,85286,0,24366
23,1,f3e5,0.00698089599609375,23,5,22
23,2,f3g5,0.05610489845275879,171,101,148
23,3,f3e5,0.6979410648345947,1333,617,129
23,4,d1e2,6.5754477977752686,15671,9106,3248
24,1,a2d2,0.009176254272460938,39,0,27
24,2,a2c2,0.07119584083557129,359,0,292
24,3,a7b5,1.5963881015777588,5128,0,632
24,4,a6a5,12.850434064865112,45332,0,7927
25,1,f3e5,0.01145315170288086,26,4,1
