material,2.466
positioning,0.974
threat,3.998
move #, depth, move, time, visited, pruned, DP hits
2,1,g8f6,0.007359027862548828,21,0,0
2,2,g8f6,0.03276491165161133,103,0,0
2,3,g8f6,0.22341704368591309,740,0,132
2,4,g8f6,1.2831602096557617,4518,0,1018
4,1,b8c6,0.0077381134033203125,22,0,2
4,2,b8c6,0.023257017135620117,103,0,62
4,3,f6e4,0.402878999710083,1289,0,165
4,4,f6e4,2.2783963680267334,7745,0,1762
6,1,b8c6,0.005287885665893555,24,0,23
6,2,b8c6,0.030141115188598633,112,0,41
6,3,b8c6,0.0934150218963623,343,0,28
6,4,b8c6,1.2782089710235596,4421,0,1459
8,1,c6e5,0.010425806045532227,28,0,1
8,2,h8g8,0.02075815200805664,88,0,34
8,3,c6e5,0.20272183418273926,660,0,78
8,4,c6e5,1.852107048034668,6160,0,1059
10,1,h8g8,0.010725975036621094,29,0,1
10,2,e5d3,0.028968095779418945,125,0,67
10,3,h8g8,0.12550592422485352,415,0,4
10,4,h8g8,0.9116621017456055,3065,0,356
12,1,e5d3,0.010586023330688477,29,0,1
12,2,e5c6,0.03304100036621094,141,0,82
12,3,e5c4,0.1617259979248047,546,0,5
12,4,e5c6,3.504163980484009,12001,0,3516
14,1,c6d4,0.010202884674072266,29,0,1
14,2,e4c3,0.0502018928527832,171,0,39
14,3,e4d2,0.3104441165924072,1062,0,107
14,4,e4d2,4.125415086746216,13780,0,2643
16,1,c6d4,0.006768703460693359,21,0,6
16,2,g8h8,0.016646862030029297,73,0,33
16,3,g8h8,0.10029292106628418,359,0,52
16,4,g8h8,1.5152928829193115,5514,0,1654
18,1,c6e5,0.008079051971435547,22,0,1
18,2,c6d4,0.039034128189086914,186,0,147
18,3,c6d4,0.22115588188171387,788,0,66
18,4,h8g8,3.1007649898529053,11022,0,3245
20,1,c6e5,0.007411956787109375,21,0,3
20,2,c6e5,0.030904054641723633,113,0,37
20,3,g8h8,0.19135689735412598,610,0,47
20,4,c6e5,1.759977102279663,6496,0,2260
22,1,e5d3,0.008560895919799805,24,0,1
22,2,e5d3,0.029684066772460938,114,0,39
22,3,e5d3,0.24307990074157715,802,0,65
22,4,g8h8,3.4018046855926514,11760,0,2445
24,1,e5d3,0.008020877838134766,24,0,2
24,2,e5f3,0.06676197052001953,220,0,42
24,3,e5f3,0.5844988822937012,1917,0,193
24,4,h8g8,9.819396018981934,33658,0,8216
26,1,e5c4,0.007980823516845703,24,0,4
26,2,e5f3,0.02998495101928711,140,0,99
26,3,e5f3,0.1570272445678711,552,0,10
26,4,e5f3,2.837057113647461,9438,0,2003
28,1,g8h8,0.003801107406616211,19,0,18
28,2,g8h8,0.055822134017944336,278,0,259
28,3,g8h8,0.2783479690551758,981,0,105
28,4,c7d6,3.654179096221924,12449,0,2440
30,1,d8b6,0.0067598819732666016,19,0,0
30,2,d8b6,0.048631906509399414,172,0,51
30,3,d6d5,0.12032413482666016,477,0,0
30,4,d8b6,1.75356125831604,6203,0,1868
32,1,b6d4,0.009733200073242188,28,0,2
32,2,b6f2,0.052557945251464844,182,0,42
32,3,d6d5,0.21241497993469238,782,0,14
32,4,d6d5,3.1668152809143066,10820,0,2277
34,1,b6d4,0.012319326400756836,32,0,1
34,2,b6f6,0.08857393264770508,288,0,46
34,3,b6d6,0.978316068649292,3276,0,712
34,4,b6f6,5.89466118812561,21059,0,5431
35,1,c4d5,0.009741067886352539,19,23,0
35,2,c4d5,0.07135891914367676,158,76,0
35,3,c4d3,0.8714601993560791,1164,1323,103
35,4,c4b3,4.542452812194824,10779,4352,2080
36,1,f6d4,0.009842872619628906,30,0,2
36,2,f6e5,0.03863811492919922,160,0,86
36,3,f6e5,0.6729562282562256,2314,0,551
36,4,f6e5,3.725027084350586,14126,0,3707
37,1,d2e3,0.0014979839324951172,6,0,5
37,2,e1f1,0.016146183013916016,60,13,54
37,3,d2e3,0.3094170093536377,379,499,7
37,4,d2e3,2.092494010925293,5061,2097,652
38,1,e5e3,0.007929086685180664,30,0,16
38,2,e5e3,0.049265146255493164,200,0,112
38,3,e5e3,0.8308701515197754,2925,0,679
38,4,e5e3,8.298997163772583,29958,0,9615
39,1,c1e3,0.0014243125915527344,6,0,4
39,2,c1e3,0.014414072036743164,42,16,16
39,3,c1e3,0.2759401798248291,497,453,7
39,4,c1e3,1.3605530261993408,3083,1666,196
40,1,g8h8,0.0033080577850341797,17,0,16
40,2,g8h8,0.01837897300720215,96,0,79
40,3,d7d6,0.23662281036376953,836,0,65
40,4,g8h8,2.049484968185425,6748,0,1081
41,1,b3d5,0.003936052322387695,2,37,1
41,2,b3d5,0.00640416145324707,15,40,13
41,3,b3d5,0.07149529457092285,75,135,0
41,4,b3d5,0.20187902450561523,423,200,8
42,1,h8g8,0.0031938552856445312,17,0,16
42,2,a8b8,0.0235750675201416,124,0,107
42,3,h8g8,0.07674288749694824,288,0,4
42,4,h8g8,1.1843771934509277,4135,0,743
43,1,d4f5,0.012161970138549805,45,0,44
43,2,h1h2,0.04669523239135742,139,11,94
43,3,d5c4,1.1105659008026123,2073,1819,398
43,4,d5c4,2.8827147483825684,7004,2210,1048
44,1,g8h8,0.0056607723236083984,18,0,1
44,2,f7f6,0.0476069450378418,171,0,62
44,3,e7e6,0.2744009494781494,982,0,88
44,4,g8h8,1.3639001846313477,4873,0,945
45,1,c4d5,0.01207590103149414,45,0,44
45,2,c4d5,0.04633021354675293,129,10,74
45,3,h1h2,1.3116459846496582,2671,1539,460
45,4,h1h2,3.8256430625915527,9348,2535,1907
46,1,h8g8,0.005647182464599609,18,0,1
46,2,f7f6,0.05745816230773926,197,0,43
46,3,e7e6,0.2648739814758301,973,0,80
46,4,h8g8,1.0796451568603516,3979,0,741
47,1,c4d5,0.011014223098754883,42,0,41
47,2,c4d5,0.0448460578918457,123,10,71
47,3,c4b5,1.1056761741638184,2342,1478,425
47,4,e1e2,3.7282488346099854,9182,2350,1989
48,1,g8h8,0.005376100540161133,18,0,1
48,2,f7f6,0.044317007064819336,163,0,43
48,3,e7e6,0.25818896293640137,910,0,80
48,4,d7d5,2.2895312309265137,7957,0,1454
49,1,c4d5,0.00489497184753418,6,36,0
49,2,c4d5,0.018086910247802734,44,42,0
49,3,c4b5,0.2293686866760254,243,333,2
49,4,c4b5,0.7152612209320068,1611,502,137
50,1,c8d7,0.0007259845733642578,3,0,0
50,2,c8d7,0.019327878952026367,88,0,66
50,3,c8d7,0.0717928409576416,276,0,3
50,4,c8d7,1.8562250137329102,6271,0,1230
51,1,b5c6,0.005474090576171875,7,36,2
51,2,b5d3,0.018021821975708008,50,44,43
51,3,b5d7,0.21171307563781738,263,517,27
51,4,b5d7,0.6781322956085205,1597,732,364
52,1,e8d7,0.0004553794860839844,3,0,2
52,2,e8d7,0.015406131744384766,86,0,83
52,3,e8d7,0.06778502464294434,272,0,0
52,4,e8d7,1.1149163246154785,4114,0,1041
53,1,d4f5,0.010548114776611328,38,0,37
53,2,d4f5,0.05453801155090332,160,7,122
53,3,e2f3,1.2216591835021973,1967,1494,352
53,4,d4f5,4.2071990966796875,10115,2352,2223
54,1,a8c8,0.004302978515625,24,0,23
54,2,d5d4,0.022909879684448242,134,0,110
54,3,d5d4,0.32363009452819824,1180,0,143
54,4,d7e6,2.559075117111206,9613,0,1631
55,1,f5d6,0.004860877990722656,7,34,2
55,2,f5d4,0.01809382438659668,54,42,18
55,3,f5d4,0.29976820945739746,414,338,15
55,4,f5d4,1.0961341857910156,2801,851,360
56,1,e6e5,0.0011970996856689453,5,0,1
56,2,e6f6,0.019198894500732422,81,0,37
56,3,e6e5,0.10209417343139648,404,0,18
56,4,e6d7,0.6151230335235596,2369,0,615
57,1,d4f5,0.010508060455322266,38,0,37
57,2,d4f5,0.05290102958679199,160,7,122
57,3,e2f3,1.206678867340088,1967,1494,352
57,4,d4f5,4.243412971496582,10115,2352,2223
58,1,a8c8,0.005265951156616211,24,0,23
58,2,d5d4,0.024039745330810547,134,0,110
58,3,d5d4,0.3055727481842041,1180,0,143
58,4,d7e6,2.545325994491577,9613,0,1631
59,1,f5d6,0.0048830509185791016,7,34,2
59,2,f5d4,0.018218994140625,54,42,18
59,3,f5d4,0.30449795722961426,414,338,15
59,4,f5d4,1.0913012027740479,2801,851,360
60,1,e6e5,0.0014660358428955078,5,0,1
60,2,e6f6,0.02124309539794922,81,0,37
60,3,e6e5,0.10661721229553223,404,0,18
60,4,e6d7,0.6109209060668945,2369,0,615
61,1,d4f5,0.010426044464111328,38,0,37
61,2,d4f5,0.052690982818603516,160,7,122
61,3,e2f3,1.1945669651031494,1967,1494,352
61,4,d4f5,4.205475091934204,10115,2352,2223
62,1,a8c8,0.004307746887207031,24,0,23
62,2,d5d4,0.024088144302368164,134,0,110
62,3,d5d4,0.3043477535247803,1180,0,143
62,4,d7e6,2.490792989730835,9613,0,1631
63,1,f5d6,0.004746913909912109,7,34,2
63,2,f5d4,0.018050193786621094,54,42,18
63,3,f5d4,0.30085301399230957,414,338,15
63,4,f5d4,1.1112010478973389,2801,851,360
64,1,e6e5,0.001622915267944336,5,0,1
64,2,e6f6,0.01923203468322754,81,0,37
64,3,e6e5,0.1024470329284668,404,0,18
64,4,e6d7,0.6027910709381104,2369,0,615
65,1,d4f5,0.010533332824707031,38,0,37
65,2,d4f5,0.052751779556274414,160,7,122
65,3,e2f3,1.1929261684417725,1967,1494,352
65,4,d4f5,4.058457136154175,9730,2289,1744
66,1,a8c8,0.004311800003051758,24,0,23
66,2,d5d4,0.02307605743408203,134,0,110
66,3,d5d4,0.3051297664642334,1183,0,142
66,4,d7e6,2.796142101287842,10648,0,2047
67,1,f5d6,0.00477290153503418,7,34,2
67,2,f5g3,0.02142477035522461,67,45,31
67,3,f5d6,0.28307199478149414,341,441,12
67,4,f5e7,0.9913551807403564,2333,831,281
68,1,f8e7,0.0064618587493896484,23,0,4
68,2,f8e7,0.038629770278930664,167,0,77
68,3,d5d4,0.3863363265991211,1381,0,160
68,4,f8e7,2.4521913528442383,9371,0,1800
69,1,a1d1,0.008757829666137695,28,7,27
69,2,a1d1,0.06564784049987793,212,28,184
69,3,e2f1,1.2427098751068115,2023,1382,250
69,4,e2f3,5.76833701133728,13750,3286,3847
70,1,e7d6,0.010943889617919922,37,0,1
70,2,e7c5,0.06389474868774414,293,0,150
70,3,e7c5,0.9734950065612793,3753,0,882
70,4,e7f6,5.518915891647339,23415,0,6167
71,1,a1d1,0.008373022079467773,23,8,12
71,2,a1d1,0.06319999694824219,233,37,202
71,3,f3g3,0.7479860782623291,1167,1647,140
71,4,a1g1,4.039596080780029,10437,3921,2602
72,1,f6e5,0.009925127029418945,33,0,2
72,2,f6d4,0.05131101608276367,231,0,133
72,3,d5d4,0.8064110279083252,3108,0,717
72,4,f6e5,5.1169819831848145,21312,0,5543
73,1,e3d4,0.010567188262939453,26,3,1
73,2,h2h1,0.10295987129211426,360,66,261
73,3,g1d1,2.1125667095184326,3245,1474,519
73,4,g1d1,8.439033269882202,24266,4665,8170
74,1,e5d4,0.010611295700073242,37,0,2
74,2,e5d4,0.03482317924499512,189,0,125
74,3,d5d4,0.7746610641479492,3043,0,679
74,4,d5d4,5.373568058013916,22745,0,5914
75,1,c3d4,0.011303901672363281,30,1,0
75,2,c3d4,0.18487191200256348,494,49,0
75,3,c3d4,2.89877986907959,6527,980,1544
75,4,c3d4,17.83084511756897,56244,6965,19555
