material,1.0
positioning,1.0
threat,1.0
move #, depth, move, time, visited, pruned, DP hits
6,1,g5f6,0.0065801143646240234,2,42,0
6,2,g5f6,0.017297029495239258,29,47,0
6,3,g5f6,0.18118882179260254,158,158,0
6,4,g5f6,0.8081269264221191,1675,515,196
7,1,g1f3,0.018587827682495117,37,0,8
7,2,g1f3,0.0862588882446289,191,27,99
7,3,g1f3,1.3245980739593506,1713,933,188
7,4,g1f3,5.971329689025879,11322,2576,1883
8,1,f1d3,0.017818212509155273,35,0,4
8,2,f1b5,0.10915899276733398,301,47,204
8,3,f1e2,1.8112108707427979,2276,1294,216
8,4,f1b5,8.901776790618896,20906,5106,4639
9,1,b5c6,0.0060710906982421875,2,37,1
9,2,b5c6,0.009148836135864258,22,43,20
9,3,b5c6,0.10759401321411133,147,131,0
9,4,b5c6,0.6851668357849121,1839,558,195
10,1,f3e5,0.012337684631347656,33,0,32
10,2,d1d3,0.06493592262268066,208,29,160
10,3,h1g1,0.9509048461914062,1749,838,222
10,4,e1g1,7.617269992828369,19977,4758,3715
11,1,d1d3,0.010515928268432617,24,6,23
11,2,d1d3,0.06031203269958496,163,58,82
11,3,d1d2,1.044154167175293,1732,807,174
11,4,d1e1,7.216822147369385,17354,5797,4477
12,1,f1e1,0.008776426315307617,20,7,19
12,2,f1e1,0.06448626518249512,164,47,47
12,3,a1e1,0.9760169982910156,1722,724,192
12,4,a1d1,6.862166881561279,18113,5092,4478
13,1,f3e5,0.011156797409057617,17,7,0
13,2,f1d1,0.04492378234863281,130,30,79
13,3,f1d1,0.7494440078735352,1345,472,140
13,4,f1d1,4.9925620555877686,14859,3668,4686
14,1,f3e5,0.012829065322875977,25,3,2
14,2,d1d2,0.07198500633239746,300,43,275
14,3,f3e1,1.2647099494934082,2330,625,338
14,4,g1h1,6.17656683921814,18498,3869,6231
15,1,d1d2,0.007030963897705078,18,5,17
15,2,d1d2,0.043148040771484375,126,26,49
15,3,d1d2,0.4173460006713867,876,288,115
15,4,d1d2,4.433901071548462,13747,2919,5496
16,1,h1g1,0.007287025451660156,12,7,6
16,2,d2d1,0.04123806953430176,148,36,115
16,3,d2d1,0.40370893478393555,734,354,101
16,4,g2f3,4.466069936752319,13984,3864,4049
17,1,h1g2,0.0012221336364746094,2,0,0
17,2,h1g2,0.007205009460449219,25,13,23
17,3,h1g2,0.08708024024963379,152,103,0
17,4,h1g2,0.6181449890136719,1897,865,350
18,1,c3d5,0.006742715835571289,18,2,17
18,2,c3d5,0.04891490936279297,194,55,176
18,3,c3d5,0.8130600452423096,1894,209,258
18,4,c3e4,4.566368103027344,14461,3385,4089
19,1,g2h3,0.008496999740600586,19,3,8
19,2,e4c3,0.0618281364440918,179,22,24
19,3,e4c3,0.3882780075073242,915,122,137
19,4,e4f6,4.980536937713623,16597,4113,5057
20,1,g2h3,0.0058901309967041016,11,4,1
20,2,c2c3,0.03656721115112305,157,47,143
20,3,c2c3,0.26566004753112793,495,89,52
20,4,c2c3,3.948936939239502,14095,3464,4674
21,1,g2h1,0.004999876022338867,8,3,1
21,2,g2g1,0.01869988441467285,67,14,56
21,3,g2g1,0.09849333763122559,195,46,36
21,4,g2g1,0.6037039756774902,2108,518,872
22,1,g1g2,0.005060911178588867,8,3,1
22,2,g1g2,0.018491268157958984,53,12,35
22,3,g1g2,0.12361407279968262,231,67,27
22,4,g1g2,0.9802119731903076,3091,930,657
23,1,g2h1,0.005120038986206055,8,3,1
23,2,g2g1,0.027759790420532227,84,18,33
23,3,g2g1,0.12577199935913086,227,50,44
23,4,b2b3,2.1723289489746094,7553,2039,2358
24,1,g2h1,0.0053369998931884766,9,0,0
24,2,g2g1,0.023190975189208984,76,13,48
24,3,g2g1,0.1433870792388916,318,18,42
24,4,c3c4,1.9447550773620605,6822,1455,2047
25,1,c4d5,0.004725933074951172,10,0,4
25,2,c4d5,0.032341957092285156,132,27,121
25,3,g2h1,0.20033621788024902,556,29,51
25,4,g2h1,2.57509708404541,9311,1756,2559
26,1,c4d5,0.003607034683227539,7,0,2
26,2,h1g1,0.022852182388305664,95,29,82
26,3,h1g1,0.11224079132080078,283,30,8
26,4,h1g1,0.3894228935241699,1333,345,207
